tidn,buyercod,sellercod,odat,odai,onum,onai,ldat,term,desig2,wcat,desc,coprod,nrdel,nrdelai,delyears,buyer,seller,status,tivunit,tivorder,tivdel
58805,EGY,FRA,2015,,15,X,2015,N/A,MM-40-3 Exocet,MI,anti-ship/land-attack missile,L,15,X,2015,Egypt,France,N,1,15,15
65044,EGY,FRA,2019,X,60,X,0,N/A,MM-40-3 Exocet,MI,anti-ship/land-attack missile,L,15,X,2022,Egypt,France,N,1,60,15
31374,EGY,FRA,2006,X,3,,2015,N/A,MRR-3D,GR,air search radar,L,3,,2013-2015,Egypt,France,N,10,30,30
55961,EGY,FRA,2010,X,1,,2015,N/A,MRR-3D,GR,air search radar,L,1,,2015,Egypt,France,N,10,10,10
58328,EGY,FRA,2015,,24,,2019,N/A,Rafale,AC,FGA aircraft,L,24,,2015-2019,Egypt,France,N,55,1320,1320
59832,EGY,FRA,2021,,30,,0,N/A,Rafale,AC,FGA aircraft,L,,,,Egypt,France,N,55,1650,0
55679,EGY,FRA,2012,,173,X,2014,POLI,Sherpa,AV,APC/APV,L,173,,2013-2014,Egypt,France,N,0.25,43.25,43.25
58983,EGY,FRA,2015,X,50,X,2022,N/A,Storm Shadow/SCALP-EG,MI,ASM,L,50,X,2021-2022,Egypt,France,N,0.64,32,32
58757,EGY,FRA,2015,,12,X,2018,N/A,TALIOS,GR,aircraft EO system,,12,X,2016-2018,Egypt,France,N,1,12,12
65045,EGY,FRA,2021,,4,,0,N/A,VL-MICA-M,NW,naval SAM system,L,1,,2022,Egypt,France,N,5,20,5
31554,EST,FRA,2009,,2,,2015,N/A,Ground Master-400,GR,air search radar,L,2,,2013-2015,Estonia,France,N,13,26,26
59433,EST,FRA,2015,,100,X,2019,N/A,Mistral,MI,portable SAM,L,100,X,2015-2019,Estonia,France,N,0.09,9,9
62006,EST,FRA,2018,,100,X,2022,N/A,Mistral,MI,portable SAM,L,100,X,2020-2022,Estonia,France,N,0.09,9,9
59225,ETH,FRA,2015,,12,,2016,N/A,Bastion,AV,APC/APV,L,12,X,2016,Ethiopia,France,N,0.16,1.92,1.92
51088,FIN,FRA,2009,,12,,2015,N/A,Ground Master-400,GR,air search radar,L,12,X,2013-2015,Finland,France,N,13,156,156
27901,FIN,FRA,2001,,10,X,2013,LIC,NH-90 TTH,AC,transport helicopter,L,10,X,2008-2013,Finland,France,N,7,70,70
64106,FRG,FRA,2020,X,62,X,0,N/A,aircraft engine,EN,aircraft engine,L,,,,Germany,France,N,0.75,46.5,0
52867,FRG,FRA,2010,,6,,2015,LIC,Ground Master-400,GR,air search radar,L,6,X,2013-2015,Germany,France,N,13,78,78
37701,FRG,FRA,2013,,18,X,2022,N/A,Ocean Master,GR,MP aircraft radar,L,18,X,2019-2022,Germany,France,N,2.5,45,45
65849,GAB,FRA,2020,X,4,X,0,N/A,AML-60/90,AV,armoured car,L,,,,Gabon,France,R,0.462,1.848,0
58268,GAB,FRA,2014,,8,,2016,N/A,Aravis,AV,IFV,,8,X,2015-2016,Gabon,France,N,0.87,6.96,6.96
38474,GAB,FRA,2016,X,5,X,2019,PEAC,Bastion,AV,APC/APV,L,5,X,2019,Gabon,France,N,0.16,0.8,0.8
37176,GAB,FRA,2018,X,5,,2019,AID,VAB-VTT,AV,APC,L,5,,2019,Gabon,France,S,0.12,0.6,0.6
58726,GEO,FRA,2015,,2,,2018,N/A,Ground Master-200,GR,air search radar,L,2,,2018,Georgia,France,N,10,20,20
51211,GEO,FRA,2015,,1,,2018,N/A,Ground Master-400,GR,air search radar,L,1,,2018,Georgia,France,N,13,13,13
59019,GEO,FRA,2015,,20,X,2018,N/A,Mistral,MI,portable SAM,L,20,X,2018,Georgia,France,N,0.09,1.8,1.8
59441,GHA,FRA,2014,X,2,X,2014,N/A,Sherpa,AV,APC/APV,L,2,,2014,Ghana,France,N,0.25,0.5,0.5
65356,GRE,FRA,2022,,,,0,N/A,ASTER-30,MI,SAM,L,,,,Greece,France,N,1,0,0
64458,GRE,FRA,2021,,4,X,0,VIA,FLASH,GR,ASW sonar,L,,,,Greece,France,N,2,8,0
63992,GRE,FRA,2022,,3,,0,N/A,FTI,SH,frigate,,,,,Greece,France,N,0,0,0
39700,GRE,FRA,2008,X,60,X,2020,N/A,MM-40-3 Exocet,MI,anti-ship/land-attack missile,L,60,X,2010-2020,Greece,France,N,1,60,60
65357,GRE,FRA,2022,,,,0,N/A,MM-40-3 Exocet,MI,anti-ship/land-attack missile,L,,,,Greece,France,N,1,0,0
65352,GRE,FRA,2022,,60,X,0,N/A,MU90 IMPACT,MI,ASW torpedo,L,,,,Greece,France,N,0.5,30,0
31030,GRE,FRA,2003,,20,,0,LIC,NH-90 TTH,AC,transport helicopter,L,17,X,2011-2022,Greece,France,N,7,140,119
36015,GRE,FRA,2021,,12,,0,N/A,Rafale,AC,FGA aircraft,L,7,,2021-2022,Greece,France,R,36.3,435.6,254.1
63908,GRE,FRA,2021,,6,,0,N/A,Rafale,AC,FGA aircraft,L,3,,2022,Greece,France,N,55,330,165
64789,GRE,FRA,2022,,6,,0,N/A,Rafale,AC,FGA aircraft,L,,,,Greece,France,N,55,330,0
64301,GRE,FRA,2021,,,,0,N/A,Storm Shadow/SCALP-EG,MI,ASM,L,18,X,2021-2022,Greece,France,N,0.64,0,11.52
61786,GUI,FRA,2017,,1,,2017,AID,SA-330 Puma,AC,helicopter,L,1,,2017,Guinea,France,S,2.4,2.4,2.4
56452,HUN,FRA,2018,,16,,0,N/A,EC725 Super Cougar,AC,transport helicopter,L,,,,Hungary,France,N,7.5,120,0
57848,HUN,FRA,2014,,118,X,2019,N/A,Mistral,MI,portable SAM,L,118,X,2016-2019,Hungary,France,N,0.09,10.62,10.62
36174,IND,FRA,2020,,300,X,0,N/A,AASM Hammer,MI,ASM,L,220,X,2020-2022,India,France,N,0.2,60,44
65321,IND,FRA,2021,,,,0,N/A,AASM Hammer,MI,ASM,L,,,,India,France,N,0.2,0,0
35077,IND,FRA,2016,X,320,X,0,LIC,aircraft engine,EN,aircraft engine,L,8,X,2022,India,France,N,0.5,160,4
64459,IND,FRA,2021,,24,,0,VIA,FLASH,GR,ASW sonar,L,6,,2021-2022,India,France,N,2,48,12
32122,IND,FRA,2009,,19,,2016,LIC,GS-100,GR,air search radar,L,19,X,2010-2016,India,France,N,7.5,142.5,142.5
51129,IND,FRA,2012,,493,,2021,OFFS,MICA,MI,BVRAAM,L,493,X,2014-2021,India,France,N,0.4,197.2,197.2
60696,IND,FRA,2017,,350,X,0,N/A,MICA,MI,BVRAAM,L,220,X,2021-2022,India,France,N,0.4,140,88
21042,IND,FRA,1979,X,24730,X,0,LIC,MILAN,MI,anti-tank missile,L,23500,X,1984-2022,India,France,N,0.01,247.3,235
55541,IND,FRA,2021,,13,,0,N/A,Mirage-2000,AC,FGA aircraft,L,2,,2021,India,France,S,8.8,114.4,17.6
39377,IND,FRA,2011,,49,X,0,LIC,Mirage-2000-5,AC,FGA aircraft,L,31,X,2015-2022,India,France,N,31,1519,961
61338,IND,FRA,2019,X,,,0,N/A,Mistral,MI,portable SAM,L,25,X,2022,India,France,N,0.09,0,2.25
58668,IND,FRA,2017,,36,,2022,LIC,Rafale,AC,FGA aircraft,L,36,X,2019-2022,India,France,N,55,1980,1980
56386,IND,FRA,2013,,20,,2016,LIC,SA-315B Lama,AC,light helicopter,L,20,X,2015-2016,India,France,N,0.75,15,15
64353,IND,FRA,2018,X,10,,0,LIC,SA-315B Lama,AC,light helicopter,L,3,X,2021-2022,India,France,N,0.75,7.5,2.25
62823,IND,FRA,2017,,8,,2020,LIC,SA-316B Alouette-3,AC,light helicopter,L,8,X,2019-2020,India,France,N,0.9,7.2,7.2
32031,IND,FRA,2005,,6,,0,LIC,Scorpene,SH,submarine,L,5,,2017-2022,India,France,N,299.52,1797.12,1497.6
58506,IND,FRA,2012,X,14,X,2017,N/A,Sherpa,AV,APC/APV,L,14,X,2013-2017,India,France,N,0.25,3.5,3.5
40319,IND,FRA,2004,X,6,,2013,LIC,ship engine,EN,ship engine,,6,,2008-2013,India,France,N,3,18,18
55772,IND,FRA,2006,X,8,,2014,LIC,ship engine,EN,ship engine,,8,,2013-2014,India,France,N,3,24,24
60549,IND,FRA,2003,X,16,,2020,LIC,ship engine,EN,ship engine,,16,,2014-2020,India,France,N,1.5,24,24
30906,IND,FRA,2005,,36,,0,N/A,SM-39 Exocet,MI,anti-ship missile,L,27,X,2017-2022,India,France,N,0.9,32.4,24.3
60697,IND,FRA,2017,,200,X,2022,N/A,Storm Shadow/SCALP-EG,MI,ASM,L,200,X,2020-2022,India,France,N,0.64,128,128
53992,INS,FRA,2012,X,6,,2017,N/A,AS-350/AS-550 Fennec,AC,light helicopter,L,6,X,2014-2017,Indonesia,France,N,0.9,5.4,5.4
58034,INS,FRA,2012,,6,,2017,N/A,AS-355/AS-555 Fennec,AC,light helicopter,L,6,X,2017,Indonesia,France,N,1.3,7.8,7.8
27366,INS,FRA,1997,,10,X,2021,LIC,AS-532 Cougar/AS-332,AC,transport helicopter,L,10,X,2001-2021,Indonesia,France,N,7.25,72.5,72.5
63289,INS,FRA,2014,,9,X,2019,ASS,AS565M Panther,AC,helicopter,L,9,,2017-2019,Indonesia,France,N,5,45,45
53993,INS,FRA,2014,,2,X,2020,ASS,AS-565S Panther,AC,ASW helicopter,L,2,,2019-2020,Indonesia,France,N,5,10,10
55372,INS,FRA,2012,,37,,2015,N/A,CAESAR 155mm,AR,self-propelled gun,,37,X,2014-2015,Indonesia,France,N,1.07,39.59,39.59
60882,INS,FRA,2017,,18,,2020,N/A,CAESAR 155mm,AR,self-propelled gun,,18,,2019-2020,Indonesia,France,N,1.07,19.26,19.26
52766,INS,FRA,2012,,6,,2017,N/A,EC725 Super Cougar,AC,transport helicopter,L,6,,2016-2017,Indonesia,France,N,7.5,45,45
58033,INS,FRA,2019,,8,,0,ASS,EC725 Super Cougar,AC,transport helicopter,L,,,,Indonesia,France,N,7.5,60,0
58134,INS,FRA,2014,,5,X,2017,N/A,Ground Master-200,GR,air search radar,L,5,X,2016-2017,Indonesia,France,N,10,50,50
54517,INS,FRA,2022,,13,,0,LIC,Ground Master-400,GR,air search radar,L,,,,Indonesia,France,N,13,169,0
55629,INS,FRA,2018,X,40,X,2020,N/A,MICA,MI,BVRAAM,L,40,X,2019-2020,Indonesia,France,N,0.4,16,16
56971,INS,FRA,2012,X,136,X,2016,N/A,Mistral,MI,portable SAM,L,136,X,2013-2016,Indonesia,France,N,0.09,12.24,12.24
62945,INS,FRA,2016,,50,X,2022,N/A,MM-40-3 Exocet,MI,anti-ship/land-attack missile,L,50,X,2019-2022,Indonesia,France,N,1,50,50
51523,INS,FRA,2009,,1,X,2013,N/A,Ocean Master,GR,MP aircraft radar,L,1,,2013,Indonesia,France,N,2.5,2.5,2.5
51964,INS,FRA,2022,,42,X,0,OFFS,Rafale F4,AC,FGA aircraft,,,,,Indonesia,France,N,0,0,0
52953,INS,FRA,2011,,100,X,2015,LIC,Sherpa,AV,APC/APV,L,100,X,2011-2015,Indonesia,France,N,0.25,25,25
55213,INS,FRA,2013,,2,,2017,N/A,TSM-2633 Spherion-B,GR,ASW sonar,L,2,,2017,Indonesia,France,N,5,10,10
52952,INS,FRA,2010,X,12,,2013,N/A,vehicle engine,EN,vehicle engine,,12,X,2013,Indonesia,France,N,0.05,0.6,0.6
55572,INS,FRA,2012,X,134,X,2015,N/A,vehicle engine,EN,vehicle engine,,134,X,2013-2015,Indonesia,France,N,0.05,6.7,6.7
