tidn,buyercod,sellercod,odat,odai,onum,onai,ldat,term,desig2,wcat,desc,coprod,nrdel,nrdelai,delyears,buyer,seller,status,tivunit,tivorder,tivdel
65431,UKR,UK,2022,,40,X,2022,AID,Spartan,AV,APC,L,40,X,2022,Ukraine,United Kingdom,S,0.1,4,4
65940,UKR,UK,2022,,14,,2022,N/A,Spartan,AV,APC,L,14,,2022,Ukraine,United Kingdom,S,0.1,1.4,1.4
66015,UKR,UK,2022,,60,,2022,N/A,Spartan,AV,APC,L,60,X,2022,Ukraine,United Kingdom,S,0.1,6,6
65319,UKR,UK,2022,,1800,X,0,AID,Starstreak,MI,SAM,L,1700,X,2022,Ukraine,United Kingdom,S,0.036,64.8,61.2
65407,UKR,UK,2022,,6,,2022,AID,Stormer HVM,AD,mobile SAM system,,6,,2022,Ukraine,United Kingdom,S,0.8,4.8,4.8
56625,USA,UK,2011,X,642,X,2013,N/A,AGM-65 Maverick,MI,ASM,L,642,,2012-2013,United States,United Kingdom,S,0.06,38.52,38.52
53725,USA,UK,2011,,179,X,0,LIC,air refuel system,OT,air refuel system,L,65,X,2019-2022,United States,United Kingdom,N,10,1790,650
64157,USA,UK,2021,,1,,2021,N/A,Boeing-707,AC,transport aircraft,L,1,,2021,United States,United Kingdom,S,17.8,17.8,17.8
65732,USA,UK,2021,,1,,0,N/A,Boeing-707,AC,transport aircraft,L,,,,United States,United Kingdom,S,17.8,17.8,0
61862,USA,UK,2019,,1,,2020,N/A,C-130J Hercules,AC,transport aircraft,L,1,,2020,United States,United Kingdom,S,16,16,16
65093,USA,UK,2021,,5,,0,N/A,Global Express,AC,transport aircraft,L,,,,United States,United Kingdom,S,12,60,0
1845,USA,UK,1981,,223,X,2009,LIC,Hawk-60,AC,trainer/combat aircraft,L,223,X,1990-2009,United States,United Kingdom,N,9,2007,2007
35223,USA,UK,2005,X,275,X,2013,LIC,L-118 105mm,AR,towed gun,L,275,X,2006-2013,United States,United Kingdom,N,0.6,165,165
35134,USA,UK,2004,,32,X,0,N/A,MT-30,EN,gas turbine,L,24,X,2008-2022,United States,United Kingdom,N,12,384,288
36449,USA,UK,2007,,6,,0,N/A,MT-30,EN,gas turbine,L,4,,2016-2019,United States,United Kingdom,N,12,72,48
54279,USA,UK,2011,,60,X,2012,N/A,Pegasus,EN,turbofan,L,60,X,2012,United States,United Kingdom,S,1.2,72,72
36202,USA,UK,2005,,22,,2011,POLI,Seaspray,GR,MP aircraft radar,L,22,X,2008-2011,United States,United Kingdom,N,2,44,44
28774,USA,UK,2000,X,1026,X,2013,LIC,UFH/M-777 155mm,AR,towed gun,L,1026,X,2002-2013,United States,United Kingdom,N,1,1026,1026
62245,USA,UK,2018,,18,,2021,N/A,UFH/M-777 155mm,AR,towed gun,L,18,X,2021,United States,United Kingdom,N,1,18,18
,,,,,26375,,,,,,,,24699,,,,,,,,
